category,name,link,price,updated_date
mixers,Monin Pump For 700ML Syrups 10ML,https://www.cheers.com.np//liquor/product/monin-pump-for-700ml-syrups-10ml,Rs. 300,2024-05-11 11:04:47.932477
mixers,&Stirred Cocktail Drops Sangria 5ML,https://www.cheers.com.np//liquor/product/stirred-cocktail-drops-sangria-5ml,Rs. 350,2024-05-11 11:04:47.941266
mixers,1883 Almond Syrup 1L,https://www.cheers.com.np//liquor/product/1883-almond-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.941266
mixers,1883 Amaretto Syrup 1L,https://www.cheers.com.np//liquor/product/1883-amaretto-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.950621
mixers,1883 Banana Syrup 1L,https://www.cheers.com.np//liquor/product/1883-banana-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.955584
mixers,1883 Blue Curacao Syrup 1L,https://www.cheers.com.np//liquor/product/1883-blue-curacao-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.963486
mixers,1883 Blueberry Syrup 1L,https://www.cheers.com.np//liquor/product/1883-blueberry-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.966703
mixers,1883 Caramel Sauce 1.89L,https://www.cheers.com.np//liquor/product/1883-caramel-sauce-1-89l,"Rs. 2,750",2024-05-11 11:04:47.969886
mixers,1883 Caramel Sauce 500ML,https://www.cheers.com.np//liquor/product/1883-caramel-sauce-500ml,"Rs. 1,150",2024-05-11 11:04:47.972106
mixers,1883 Caramel Syrup 1L,https://www.cheers.com.np//liquor/product/1883-caramel-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.977094
mixers,1883 Chocolate Cookie Syrup 1L,https://www.cheers.com.np//liquor/product/1883-chocolate-cookie-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.977646
mixers,1883 Chocolate Sauce 1.89L,https://www.cheers.com.np//liquor/product/1883-chocolate-sauce-1-89l,"Rs. 2,750",2024-05-11 11:04:47.977646
mixers,1883 Coconut Syrup 1L,https://www.cheers.com.np//liquor/product/1883-coconut-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.977646
mixers,1883 Elder Flower Syrup 1L,https://www.cheers.com.np//liquor/product/1883-elder-flower-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.977646
mixers,1883 Green Mint Syrup 1L,https://www.cheers.com.np//liquor/product/1883-green-mint-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.988839
mixers,1883 Grenadine Mixed Berries Syrup 1L,https://www.cheers.com.np//liquor/product/1883-grenadine-mixed-berries-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.990333
mixers,1883 Hazelnut Syrup 1L,https://www.cheers.com.np//liquor/product/1883-hazelnut-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.990333
mixers,1883 Iced Mint Syrup 1L,https://www.cheers.com.np//liquor/product/1883-iced-mint-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.990333
mixers,1883 Iced Tea Lemon Syrup 1L,https://www.cheers.com.np//liquor/product/1883-iced-tea-lemon-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.990333
mixers,1883 Iced Tea Peach Syrup 1L,https://www.cheers.com.np//liquor/product/1883-iced-tea-peach-syrup-1l,"Rs. 2,100",2024-05-11 11:04:47.999375
mixers,1883 Kiwi Syrup 1L,https://www.cheers.com.np//liquor/product/1883-kiwi-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.005161
mixers,1883 Lemonade Syrup 1L,https://www.cheers.com.np//liquor/product/1883-lemonade-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.009670
mixers,1883 Mango Fruit Puree 900ML,https://www.cheers.com.np//liquor/product/1883-mango-fruit-puree-900ml,"Rs. 2,760",2024-05-11 11:04:48.009670
mixers,1883 Mojito Mint Syrup 1L,https://www.cheers.com.np//liquor/product/1883-mojito-mint-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.009670
mixers,1883 Passion Fruit Syrup 1L,https://www.cheers.com.np//liquor/product/1883-passion-fruit-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.009670
mixers,1883 Peach Syrup 1L,https://www.cheers.com.np//liquor/product/1883-peach-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.009670
mixers,1883 Raspberry Syrup 1L,https://www.cheers.com.np//liquor/product/1883-raspberry-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.019192
mixers,1883 Strawberry Fruit Puree 900ML,https://www.cheers.com.np//liquor/product/1883-strawberry-fruit-puree-900ml,"Rs. 2,760",2024-05-11 11:04:48.019192
mixers,1883 Strawberry Sauce 500ML,https://www.cheers.com.np//liquor/product/1883-strawberry-sauce-500ml,"Rs. 1,275",2024-05-11 11:04:48.019192
mixers,1883 Vanilla Syrup 1L,https://www.cheers.com.np//liquor/product/1883-vanilla-syrup-1l,"Rs. 2,100",2024-05-11 11:04:48.019192
mixers,Giffard Agave Syrup 700ML,https://www.cheers.com.np//liquor/product/giffard-agave-syrup-700ml,"Rs. 1,950",2024-05-11 11:04:48.019192
mixers,Giffard Bitter Concentrate Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-bitter-concentrate-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.035229
mixers,Giffard Blue Curacao Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-blue-curacao-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.039264
mixers,Giffard Caramel Sauce 2L,https://www.cheers.com.np//liquor/product/giffard-caramel-sauce-2l,"Rs. 3,500",2024-05-11 11:04:48.039264
mixers,Giffard Caramel Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-caramel-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.047527
mixers,Giffard Chai Tea Syrup 700ML,https://www.cheers.com.np//liquor/product/giffard-chai-tea-syrup-700ml,"Rs. 1,950",2024-05-11 11:04:48.049730
mixers,Giffard Chocolate Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-chocolate-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.054277
mixers,Giffard Coconut Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-coconut-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.057062
mixers,Giffard Dark Chocolate Sauce 2L,https://www.cheers.com.np//liquor/product/giffard-dark-chocolate-sauce-2l,"Rs. 3,500",2024-05-11 11:04:48.059210
mixers,Giffard Elder Flower Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-elder-flower-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.059210
mixers,Giffard Grenadine Syrup 1L,https://www.cheers.com.np//liquor/product/giffard-grenadine-syrup-1l,"Rs. 1,950",2024-05-11 11:04:48.059210
